,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,42744.301952999995,3224,24918508108,36501741150,6977079630,34777509,4252495488,445943434,14148867,63980052,836643,519740331,18.02,4.936750804831128e-10,1000
1,43619.458018,3215,23826356255,31511048838,6040864829,31647730,3695343368,430597235,32361273,60902760,2057626,464669946,15.59,4.947470990302173e-10,1000
2,42427.37639,3241,24396288879,34491118248,6641509114,34835050,4034664769,443253875,18126765,64000444,1034315,453785842,16.8,4.870819171243938e-10,1000
3,42319.646307,3219,23906984364,32810529520,6215697287,33852301,3759286809,398267857,15420240,48655515,986859,482354534,16.23,4.946582770054605e-10,1000
4,42460.11753,3227,24736889817,36724643322,7014661630,35922874,4273722392,460985979,13204306,59508845,723326,445174493,18.14,4.939462540438938e-10,1000
5,41068.895580000004,3218,24265705942,34891238708,6732780017,35472778,4068017578,447446902,13503141,65629953,746406,434241934,17.12,4.90667589742942e-10,1000
6,41898.639475,3609,25391806218,38702757831,7449410337,41231836,4578377579,490365870,14737838,77204381,972338,470451886,19.23,4.968638174046921e-10,1000
7,42493.287741,3218,24954512316,37439083486,7140401268,36160304,4377340134,477092054,13231599,70984863,677784,438322835,18.36,4.903966200685856e-10,1000
8,42181.56254,3227,23948560768,33342299318,6433664553,33970858,3864255685,425274296,14453237,59657002,989231,460126200,16.49,4.945669716034789e-10,1000
9,42050.454451,3217,24306534403,34278016811,6514510737,34068842,3923428023,448830703,15168120,65380934,992024,441586906,16.63,4.851505876694518e-10,1000
10,41709.352504,3228,23878694819,33230089969,6379150319,32709416,3837151150,431256697,15467853,52831733,866516,421325344,16.47,4.956351311526598e-10,1000
11,41895.31977,3225,24940491627,36937700590,7075502652,35227824,4363671514,463659417,14577877,65844123,947846,497229305,18.06,4.889313549985652e-10,1000
12,41899.849809,3220,24384083450,35764075629,6927090123,34886218,4223706351,462369830,12738889,56474709,710057,409084341,17.68,4.943508168197649e-10,1000
13,41310.309438,3212,22720539710,29721001485,5847611338,29133083,3443027993,389892318,27813226,42889928,1525316,431911672,14.26,4.797954068673268e-10,1000
14,42949.904248,3237,24411442178,34779067443,6739369963,34085510,3990835954,434225656,15298720,56915313,916728,451557326,16.87,4.85061884642207e-10,1000
15,42278.30194,3237,23882276673,33282654245,6435306566,33408758,3831376573,439430042,12764799,53851075,893004,417847122,16.52,4.963546440254768e-10,1000
16,42835.162626,3222,25212603080,39918658403,7746974861,39682379,4643347688,470146052,12760531,72681938,708525,516378140,19.59,4.907479555607449e-10,1000
17,42570.24982,3635,25610788523,36476913875,7138352634,37554505,4374114355,489299589,15524802,59616086,996131,477583662,17.92,4.912696304684301e-10,1000
18,43462.596508999995,3219,24684505869,33147299775,6245048454,33902318,3839770596,418442454,22742205,55032090,1421883,474663632,16.21,4.890292756885655e-10,1000
19,42579.061156,3222,22321960343,27236837858,5179394434,29515694,3158725417,362421942,35132729,47519843,2512928,433377610,13.43,4.930822024941982e-10,1000
20,42468.797297000005,3221,23346724576,30238104150,5885077367,29293509,3535138387,411061920,30548217,51074401,1636379,445823345,14.6,4.828345033661774e-10,1000
21,41641.173945999995,3610,24439809024,35274580786,6809996941,35755580,4151558863,460648250,13037972,54801316,919457,456201464,17.36,4.921390875009334e-10,1000
22,42748.222026999996,3219,24720494196,35614618383,6974591389,36018727,4183292828,456792614,11988419,55547095,694091,439356700,17.62,4.947406654906231e-10,1000
23,41307.899087,3214,24263645714,35268230644,6888982549,34790713,4101348891,448888890,12192339,47650089,711128,462621997,17.22,4.882581202845101e-10,1000
24,41861.1038,3222,24601858480,36653759951,7015730778,34756108,4279134946,485782555,12581395,57412030,806619,395838763,17.78,4.850798396608947e-10,1000
25,42320.100821,3219,24577992145,35218561332,6911890153,35723940,4076780731,456756337,15662445,55168702,848788,404596994,17.05,4.841197185561402e-10,1000
26,42722.848595999996,3229,23583580031,31365119824,6046739119,30832745,3711858942,418923010,23925606,58376276,1210770,441679571,15.56,4.960924774817465e-10,1000
27,43041.107295,4963,23191639563,32074763675,6244984788,31321690,3776224256,408247099,20827714,36295725,1356288,451390967,15.83,4.935344235236988e-10,1000
28,41131.46499,5718,24634141046,33478299038,6418030057,36134069,4053934100,443252712,18262921,61649110,1079881,457062510,16.7,4.988306001163451e-10,1000
29,41636.349432999996,3235,23888260810,34685490422,6750242616,34555678,3998777417,433850071,15457562,62248001,802017,423667969,16.93,4.881003495704299e-10,1000
30,43254.260081,3225,24820990546,36875863666,7054572962,37987212,4191736703,468004777,12815412,60321700,794351,454327957,18.33,4.970731035894485e-10,1000
31,41921.337196,3217,24576109347,35819506639,6947507939,35906636,4180725422,482289170,14514493,54526154,756543,388673488,17.54,4.896773195893933e-10,1000
0,41033.052075,3214,26865707684,41188676745,8002976866,39795338,4796182620,482946299,12920249,74114234,604124,589098001,20.41,4.955245376383116e-10,1100
1,43140.347805,3622,27036884227,39260279423,7573840696,39177493,4540317311,496772500,16526417,65932139,1085755,514959854,19.34,4.926098408935412e-10,1100
2,42175.863031,3609,26880839853,41373010442,8032383384,41304278,4839397411,510718400,10367642,77940137,661630,517271489,20.63,4.986342492268186e-10,1100
3,43711.448082999996,3630,27094328567,34758667733,6564355517,37965694,4136803846,452458226,43464674,72888504,3158277,530727263,16.92,4.867850554564292e-10,1100
4,42788.894394,3224,25916064797,33779316215,6315150786,35299422,3871786280,457929776,35157093,63433123,1983448,476364239,16.46,4.87280437982661e-10,1100
5,42105.453183,3219,24108845960,30313897736,5922008987,29029468,3545166624,426047399,38265062,53868369,2997802,452791434,14.66,4.836065664558261e-10,1100
6,42781.382606,3220,27434602166,40710649360,7836446125,39595581,4660926066,502595939,15286878,65452210,790479,487748638,19.97,4.905350396994994e-10,1100
