,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,41033.052075,3214,26865707684,41188676745,8002976866,39795338,4796182620,482946299,12920249,74114234,604124,589098001,20.41,4.955245376383116e-10,1100
1,43140.347805,3622,27036884227,39260279423,7573840696,39177493,4540317311,496772500,16526417,65932139,1085755,514959854,19.34,4.926098408935412e-10,1100
2,42175.863031,3609,26880839853,41373010442,8032383384,41304278,4839397411,510718400,10367642,77940137,661630,517271489,20.63,4.986342492268186e-10,1100
3,43711.448082999996,3630,27094328567,34758667733,6564355517,37965694,4136803846,452458226,43464674,72888504,3158277,530727263,16.92,4.867850554564292e-10,1100
4,42788.894394,3224,25916064797,33779316215,6315150786,35299422,3871786280,457929776,35157093,63433123,1983448,476364239,16.46,4.87280437982661e-10,1100
5,42105.453183,3219,24108845960,30313897736,5922008987,29029468,3545166624,426047399,38265062,53868369,2997802,452791434,14.66,4.836065664558261e-10,1100
6,42781.382606,3220,27434602166,40710649360,7836446125,39595581,4660926066,502595939,15286878,65452210,790479,487748638,19.97,4.905350396994994e-10,1100
7,42210.881255,3224,27404372087,41245388333,7996504235,40548139,4781577318,537074976,11940160,70165790,678107,484054014,20.44,4.955705553060868e-10,1100
8,40925.975259,3221,26911294141,41056705333,7939829827,40130635,4724657581,515495855,10445045,63821111,584092,508990812,20.39,4.966302053372803e-10,1100
9,41280.194936,3212,24849780688,32458801275,6222205376,32096630,3693147532,419087141,30340190,60204834,2684378,453772900,15.91,4.901598141350339e-10,1100
10,42402.2613,3220,25570066540,35561362835,6888252244,35691898,4103171784,461775975,19886249,57999972,1203738,455924960,17.19,4.833897980726812e-10,1100
11,41904.752416,3217,25819230942,36012276602,6979100320,36190596,4165691086,466888371,17079679,64503617,999296,453735968,17.55,4.873338110211375e-10,1100
12,41770.194049,3232,26084417081,36141217881,6998745913,35518594,4250135300,465900509,20743866,64854929,1110958,474533014,17.63,4.878086858624752e-10,1100
13,41842.061411,7650,25393534735,36008904455,7023034962,36650784,4256573941,460389622,26855225,66256457,2008101,476901677,17.53,4.868240304813239e-10,1100
14,42429.032078,3633,28182712337,40664816713,7740409535,43839345,4829083391,518545903,17309216,63128585,1070798,538697056,20.26,4.982193856421133e-10,1100
15,42181.404624,3217,27192834983,37977302420,7238875764,38523200,4419769841,494743950,15233721,65990466,927522,457885046,18.78,4.945058970304822e-10,1100
16,40054.060918,3237,25609071953,35760175768,6942381389,35046356,4189150670,483542861,13621733,66071505,792862,480043986,17.68,4.944047287323724e-10,1100
17,41142.800085,3225,24981260249,32379767098,6184187606,35340306,3721560941,437887644,30083723,62161743,1750883,446516523,15.99,4.938268997304695e-10,1100
18,41058.129658,3218,26028269406,36168019469,6963349534,34936466,4244004880,492212419,15170051,76845368,904394,450536901,17.65,4.880001796926703e-10,1100
19,42152.105818,3236,27206268098,40342954186,7763574375,40447558,4647110549,519878954,14202497,80208250,773168,539734588,20.04,4.967410147409179e-10,1100
20,42688.897786,3211,25343013286,32936972365,6276455128,33432392,3815647290,433239055,33548670,66808603,2543601,486163942,16.25,4.933665371522681e-10,1100
21,43739.382117,3223,26094826379,33399395082,6276192479,35236915,3891139723,440765838,36496939,67079882,3000202,505210907,16.37,4.901286373543429e-10,1100
22,42378.378846,3239,27008965847,40432486423,7768750135,41294524,4702910393,516223217,13778291,66036868,840733,471646646,20.17,4.988562857347874e-10,1100
23,41928.378316,3225,26451761702,37857926162,7264119133,37859695,4380833522,482881465,15626001,73347212,891715,499175862,18.78,4.960652075773363e-10,1100
24,41424.176857,3223,25426079084,34594233403,6695244871,35352352,4030023410,461400486,25402415,65046946,1658291,481933548,16.82,4.862082013513089e-10,1100
25,42559.535061,3619,26099093092,37497797993,7261316793,36523027,4520910783,482618545,17729926,58853842,1153539,524152949,18.72,4.992293148385568e-10,1100
26,41932.512855,3221,27058450974,40104439203,7742564452,39751723,4687217260,514772133,12705209,81872774,664280,518115173,20.06,5.001940034234269e-10,1100
27,41730.233602,3220,27296506235,41948223493,8047961301,40631938,4860047275,505449752,10754112,73647606,521702,547712060,20.86,4.972797001398869e-10,1100
28,40036.175374,3239,24062270858,30674616812,5926326182,29598791,3547249813,425389038,35418758,52099706,2661586,440030131,14.76,4.811796049633404e-10,1100
29,42053.599458,8782,27184624657,41234098016,7852390528,41195689,4863956667,506737584,14900469,79341459,853172,539004205,20.6,4.995865313218836e-10,1100
30,42140.093176,3225,27372213524,42413509674,8158049654,40968207,4858383756,519311411,11943988,65475174,690443,492947712,21.18,4.993691906846275e-10,1100
31,40045.992516000006,3213,26502644755,39712670348,7537992225,40451483,4669458058,503377287,10486789,74438067,598236,473622400,19.9,5.010995187585566e-10,1100
