,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24005.2175,731,35786028012,50313689894,14907290391,30463375,14916638513,2149178,1888761,433741,106804,4046108,25.12,4.992676953911028e-10,1500
1,24005.613642,754,35799676761,50297242732,14904413391,30412383,14916209220,1616810,1379952,445428,100829,5359977,25.1,4.990333194553215e-10,1500
2,24005.683816,1135,35778542563,50276079442,14893426482,30580645,14903840848,2047539,1637143,348290,109439,5801582,25.18,5.008345972769895e-10,1500
3,24005.10253,752,35799500919,50292892521,14894007245,30476344,14906129841,1886740,1782897,483494,140391,6197590,25.46,5.062345537069492e-10,1500
4,24005.592335,932,35820180142,50347500856,14911014556,30465427,14923301087,1696217,990581,332959,72658,4428000,25.4,5.04493759732923e-10,1500
5,24005.529926,730,35784912844,50294230585,14907380988,30378849,14916606288,1648798,1693268,408180,81138,3872000,25.4,5.050281057003668e-10,1500
6,24004.998914,737,35812098494,50313999170,14906193004,30406860,14913024760,1841797,1489613,425106,69044,3805653,25.46,5.060221890527173e-10,1500
7,24005.310691,1128,35780213838,50278802487,14894965886,30446630,14911673047,1774920,1330427,442755,125811,5559068,25.41,5.053819650253199e-10,1500
8,24005.229743,755,35797589715,50302427421,14897902409,30465311,14912159664,1947778,1530353,467159,111870,5760629,25.5,5.069337864469417e-10,1500
9,24005.779603,941,35817624359,50324410957,14908622752,30444261,14918743158,1668247,1211912,384114,99180,4545703,25.24,5.015458605480046e-10,1500
10,24005.562997,742,35791277236,50310276759,14910351701,30417194,14921573873,1774707,1435781,353791,75742,4098529,25.49,5.066559288096163e-10,1500
11,24005.753487,740,35815224997,50318874234,14909663387,30363716,14919754959,1767396,1356120,417086,77853,3630521,25.5,5.067680942426547e-10,1500
12,24005.258798,1145,35790283925,50296846884,14899214049,30527828,14910124958,2660561,2205450,572634,138404,5111724,25.34,5.03808917852084e-10,1500
13,24005.602108000003,746,35812564811,50303931459,14900490861,30512546,14914312852,2027907,1760876,472830,119614,6189643,25.32,5.033403804757677e-10,1500
14,24005.163375,938,35781162940,50307264175,14899695694,30519807,14914036875,1849116,1190255,332152,86795,4877764,25.37,5.043009278291767e-10,1500
15,24005.023531,744,35799119424,50321991871,14902183237,30432292,14914727101,1822758,2075213,550578,122729,5922927,25.15,4.997814884687357e-10,1500
16,24005.837847,740,35816161421,50297522793,14899342625,30580015,14911580023,2115662,1522269,406531,81706,5122766,25.17,5.004222594338772e-10,1500
17,24005.329925,1141,35785545393,50293592275,14898424856,30498833,14905243790,2229035,2175334,487506,98633,5219395,25.11,4.992683732492441e-10,1500
18,24004.837112,1137,35803142623,50130811315,14779959135,32204672,14818528520,13533154,3683321,3310375,375075,35720540,25.25,5.036822532422244e-10,1500
19,24005.530338999997,940,35819878326,50301679465,14901472408,30322307,14911554675,1696924,1451498,491750,91942,4852648,25.29,5.027665133446851e-10,1500
20,24005.20125,744,35789616865,50299183519,14900531764,30418373,14914378472,1718800,1172521,366093,85818,4161200,25.1,4.990140643241005e-10,1500
21,24005.500718,743,35813648275,50317456182,14908362599,30443589,14918962241,1902955,1824409,428305,105528,4783306,25.19,5.006214922488706e-10,1500
22,24005.506833000003,1141,35778268579,50267879176,14894220810,30536603,14911030823,1977294,1252346,437085,123411,5957690,25.25,5.023088384451956e-10,1500
