,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24016.770121999998,139,14260961440,19995587613,5919732668,12395175,5932809013,2180604,1686785,401772,93172,4635720,9.08,4.5410018328727173e-10,600
1,24012.451047,142,14268664421,20027221175,5928921935,12231320,5937737549,1685571,867563,441866,66329,4494655,9.07,4.5288359881510126e-10,600
2,24011.952988999998,137,14257314443,20016200447,5925420412,12288957,5937523887,1692244,853259,367812,58764,3378511,9.07,4.5313295218121176e-10,600
3,24012.655337,141,14265008222,20016988093,5923649185,12304552,5934691786,1776984,1101474,428373,107075,5402239,9.07,4.5311512190846564e-10,600
4,24012.492437,138,14266409510,20024394728,5929903981,12256329,5940178214,1650904,784004,335309,41119,3061495,9.08,4.534469142931689e-10,600
5,24012.094858,143,14254273528,20030413755,5920968905,12406221,5933979834,2244140,1874820,539400,121617,5915527,9.07,4.528114152278029e-10,600
6,24012.170499,137,14256484774,19984830912,5918301561,12285558,5929091902,1608565,796103,407608,68243,4794069,9.38,4.693559851120746e-10,600
7,24012.517286000002,137,14266577391,20027171173,5929825270,12242533,5940735641,1576492,1278830,458531,83302,4627174,9.08,4.5338405117550346e-10,600
8,24012.232616,145,14252847837,19995848207,5921210453,12365882,5936398995,1677730,1162295,432252,119277,6436838,9.08,4.5409426526959435e-10,600
9,24012.312111000003,525,14261040151,20016443788,5924559913,12359292,5934095684,1708030,1005825,395450,73902,5274054,9.08,4.536270326621917e-10,600
10,24013.629099,147,14265183198,19871102687,5837620059,13898118,5861579671,11454998,2801982,3122727,224108,29929999,9.09,4.5744819214017883e-10,600
11,24012.415591999998,530,14256945995,20016777946,5926572289,12338854,5941049486,1544801,901279,406581,112067,5413825,9.08,4.536194598598961e-10,600
12,24012.306747,145,14262889005,20014024351,5924167509,12237828,5937189489,1891697,1434608,528541,106345,4721093,9.08,4.5368187031042153e-10,600
13,24013.551218,138,14270407120,20023625244,5923319395,12250929,5937600566,1509143,627842,369806,55983,4463479,9.08,4.53464339716445e-10,600
14,24011.91439,136,14259261940,20016134872,5927939122,12213725,5938955257,1497471,958480,382574,56772,4133366,9.08,4.536340336466134e-10,600
15,24012.672244,140,14265277413,20013486712,5923730613,12356949,5933338123,1953900,1475544,519541,91079,4955983,9.09,4.541937210046301e-10,600
16,24012.765209999998,136,14268098433,20015011562,5925873519,12281988,5936188244,1781610,961691,440288,67793,4573141,9.08,4.536594931196073e-10,600
17,24012.230229,144,14270527424,20019264402,5925381039,12273183,5935268883,1873982,1755291,589184,126602,5240229,9.08,4.535631188872691e-10,600
18,24012.309165000002,137,14263936266,20029229272,5928870665,12246642,5938709201,1664568,782631,389554,50568,3492933,9.07,4.528381934635633e-10,600
19,24012.473013,141,14265948586,20021906614,5928100979,12227807,5938052629,1874144,1216752,496017,82332,4055701,9.08,4.535032639524427e-10,600
20,24013.490134,139,14269849164,20034038670,5930940736,12229250,5941357625,1693732,769850,333236,42322,2714746,9.07,4.5272948452385114e-10,600
21,24011.986579,138,14260063201,20025929276,5932586535,12217100,5941890320,1495237,1068357,389793,73285,4219652,9.08,4.5341216753830707e-10,600
22,24012.776563,148,14262714414,20005299270,5917405330,12329356,5927785130,2011913,1293056,461853,72857,5153668,9.08,4.5387973843592494e-10,600
23,24012.438477,137,14269481139,20024626417,5928149166,12263886,5934916873,1527941,858887,341743,52407,4525225,9.08,4.534416678201543e-10,600
24,24012.786494,137,14263706545,20029102784,5930629804,12225203,5940687847,1483999,914446,342446,61932,3994294,9.08,4.533403267196494e-10,600
25,24012.480294,143,14266586048,20154607891,5955742491,12535773,5967870611,2267573,1276510,379146,84594,4983559,9.12,4.5250198115104573e-10,600
26,24013.300918,145,14255285765,20018814310,5929376028,12250204,5941839492,1573482,1253872,459680,96984,5215063,9.08,4.535733165507343e-10,600
27,24012.181585,138,14259142588,20020949323,5931256352,12225252,5941533892,1510592,850799,329569,57159,3430231,9.08,4.5352494796882216e-10,600
28,24011.757615000002,139,14260428900,20019088211,5927645183,12248325,5939462785,1575579,845914,378998,80151,4675095,9.08,4.5356711076435347e-10,600
29,24012.425180000002,138,14265678477,20016327156,5926487406,12248609,5936914776,1674339,1133231,416317,62587,3836473,9.08,4.536296758757873e-10,600
30,24012.715838,534,14259696229,19821593552,5812327312,14293460,5842030532,13654481,3373110,3831704,280092,38395637,9.11,4.595997781964811e-10,600
31,24012.450744,143,14269869263,20009590951,5923819217,12285482,5935119602,1853948,1231898,446578,91468,4948869,9.08,4.537823897667542e-10,600
32,24012.334866,138,14271087601,20016064148,5926864858,12231251,5938273050,1560750,1129569,482950,110698,5170066,9.08,4.536356364998596e-10,600
33,24012.406033000003,142,14259179441,20013392075,5925437561,12273965,5937929251,1749583,796815,457693,69554,4200511,9.08,4.536962033208956e-10,600
34,24011.786028,137,14260819004,19981715804,5913288580,12246351,5924167564,1731772,1065441,479012,83238,4485487,9.09,4.549158885635005e-10,600
35,24014.164755,141,14266737766,20006089565,5921615978,12415511,5933302062,1941754,1076015,436530,69689,4784317,9.09,4.5436165675788324e-10,600
36,24012.929043,145,14268657026,20019080759,5924746415,12306137,5936301953,2041896,1355817,604529,104370,5239764,9.09,4.540668030380665e-10,600
37,24012.328,138,14255203609,20015212794,5923804346,12268271,5936627973,1612478,715140,374519,64007,4466534,9.08,4.5365493204858307e-10,600
38,24011.986658,137,14256921939,20018289142,5925991873,12238032,5936289987,1616715,829354,383229,56605,4550449,9.08,4.535852157789759e-10,600
39,24012.543286,136,14267462049,20030239498,5931111964,12225727,5940701465,1420261,736282,331060,53833,4090600,9.08,4.5331459970344487e-10,600
40,24013.312603,141,14271075001,20030352607,5928802050,12282087,5934416467,1822980,1414255,454793,54285,4512989,9.08,4.533120398902422e-10,600
41,24012.21684,144,14256370071,20002142196,5922767313,12337018,5936472893,1913524,1403809,550520,144150,6902539,9.09,4.54451323809597e-10,600
42,24012.597086,138,14266552950,20023990777,5928531908,12272670,5939960991,1645041,1057464,353219,63747,3924901,9.09,4.539554627862182e-10,600
43,24012.876216,138,14254328094,20004226893,5922257025,12229466,5937386934,1498111,876669,472072,99155,5254767,9.08,4.539040698032339e-10,600
44,24012.022071,142,14259950079,20013031211,5925065983,12286549,5939716105,1874327,988251,448223,87577,4497829,9.08,4.537043841219441e-10,600
45,24012.458303,149,14255932398,20017240109,5921600089,12383669,5936809034,2147386,2060704,690209,175392,7819564,9.08,4.5360898658139787e-10,600
46,24012.1973,138,14259873437,20020368815,5929280548,12297755,5939911473,1895104,1068756,447609,55673,4045789,9.09,4.540375896167026e-10,600
47,24012.265379,137,14267523638,20019410086,5928700916,12241370,5938344205,1523567,924295,377802,65611,4364935,9.08,4.5355981824608496e-10,600
48,24012.360941,140,14270860098,20034553245,5928638355,12280750,5941359713,1716053,915153,359821,71303,4321068,9.08,4.5321699410822073e-10,600
49,24012.474032,144,14262778169,20036414510,5933592844,12191025,5944025532,1612170,1054145,469879,77149,3665930,9.09,4.536739842082654e-10,600
50,24012.973941999997,540,14248907003,19815473589,5806873343,14300049,5833508127,13990452,4029046,3727524,286459,38269063,9.11,4.597417245206372e-10,600
51,24012.273563,138,14262483674,20023142520,5926644889,12295132,5932388913,2061478,1706822,563275,74558,4694127,9.08,4.534752719724436e-10,600
