,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24004.701304,750,40596739826,57015268442,16888287509,34569533,16902759987,2243297,1689092,515149,136550,7368840,29.67,5.203869210960997e-10,1700
1,24004.836702,757,40577680291,56986227117,16879843139,34604027,16898784636,3065387,2174284,865732,175039,8622972,29.64,5.201256777211324e-10,1700
2,24004.798557,947,40561944549,57131529006,16932319377,34494775,16944779287,1495120,1150131,356973,81763,4698541,29.56,5.17402571124879e-10,1700
3,24004.371069,1157,40595910783,57043992955,16901909334,34362642,16909581569,1864688,2150967,581240,137088,4636181,29.67,5.201248801675862e-10,1700
4,24004.9098,747,40573941605,57024943899,16900526217,34453209,16911320857,1766631,1119276,350708,82269,3427756,29.74,5.215261597218603e-10,1700
5,24004.924257,1142,40560808625,56926946110,16865274994,34445185,16875000347,2157859,2088770,505361,99007,4925896,29.87,5.247075777134113e-10,1700
6,24004.867788,953,40596716821,56895999388,16790144936,36276297,16821546546,13503430,3658550,3163580,275579,32454969,29.87,5.249929752758666e-10,1700
7,24005.020077,1147,40578787875,57032036761,16900634541,34532943,16906863028,2039773,2321819,472054,100502,5794944,29.76,5.21811979549548e-10,1700
8,24004.422742,1544,40566752959,57024298284,16889944163,34597458,16903652689,2276838,1165294,346456,90748,4492778,29.67,5.203045174222665e-10,1700
9,24004.293564,746,40597020870,57047860716,16896335332,34428981,16907268960,1698513,1377976,392034,114096,4775133,29.65,5.197390336441516e-10,1700
10,24004.718966999997,748,40573877599,57033350685,16894703542,34465175,16902984131,1900663,1412405,424471,87682,4754989,29.82,5.228519741843394e-10,1700
11,24005.119994,959,40556752416,56986322227,16886980552,34464895,16903456994,2109543,2084398,611717,193842,7112813,29.83,5.234589430280273e-10,1700
12,24004.316171000002,748,40591640057,57053623909,16905751929,34451172,16919653336,1979489,1452190,430501,125693,3526810,29.8,5.223156384865355e-10,1700
13,24004.741154,1155,40562759637,57027361081,16897801378,34412314,16913702181,1451685,1292377,478064,132550,6237746,29.81,5.227315350899499e-10,1700
14,24004.553212,751,40600446554,57066978512,16908082029,34466671,16916502586,2021196,1591385,419097,69670,3832188,29.81,5.223686408021685e-10,1700
15,24004.70582,772,40579144133,57037448936,16898083758,34444258,16910238451,1427534,1130011,439672,96483,6264939,29.78,5.221131126221167e-10,1700
16,24004.347563,2697,40562598725,57097524110,16883540603,34845028,16920583572,4590421,2869964,743794,208543,7635506,29.87,5.231400216663441e-10,1700
17,24004.323403,646,40595557224,56645688838,16780543387,34203917,16796677055,1657177,766403,420950,101089,5395017,30.59,5.400234444581263e-10,1700
18,24005.0048,813,40571236996,56909784721,16862690282,34434023,16876047604,1913102,1145308,441139,73705,4958079,29.89,5.252172389429272e-10,1700
19,24004.718528,1430,40558681440,57022989182,16894014554,34549204,16906330284,2013949,1401290,464052,106065,4791195,29.84,5.232977160274747e-10,1700
20,24004.215202,642,40594052902,57048388945,16902265821,34517542,16916525945,1892437,1145867,347028,74757,4485394,29.86,5.234153067633135e-10,1700
21,24004.742715,6542,40568298336,56963452386,16864498535,35171084,16878511162,5358679,5568633,1392621,295723,12561607,29.88,5.245468585282526e-10,1700
22,24004.435771,646,40556495768,57021421747,16898081443,34519306,16914121685,1858662,1272180,406701,114259,5195958,29.77,5.220844918965258e-10,1700
23,24004.382911,813,40592301488,57050281997,16903620845,34531441,16912876214,1728132,1560941,362656,88370,5336181,29.83,5.228720867947439e-10,1700
24,24004.488955,646,40571745867,57022546539,16899858952,34456569,16911631326,1705256,1419899,389446,94002,4431119,29.78,5.222495628046403e-10,1700
25,24004.985518999998,650,40559412328,57033225251,16901708859,34600592,16914077977,2268916,2099493,431597,87975,4407876,29.88,5.23905142458625e-10,1700
26,24004.355158000002,996,40593247024,56869360597,16786766305,36149822,16821806119,13683342,3740522,3189250,317336,29878632,29.9,5.257664177356215e-10,1700
27,24005.095230000003,1670,40570102386,56995471485,16888114256,34722477,16898643627,2507071,1869968,490964,106586,6385840,29.85,5.237258193022561e-10,1700
28,24005.016064,149,40608447072,57064714367,16905907286,34409833,16908786832,2311163,2146653,583383,127577,3579673,29.88,5.236160441955936e-10,1700
29,24004.389335,139,40592001548,57060518253,16905020233,34488619,16917354675,1697522,985575,384986,79193,4708870,29.85,5.23128792270137e-10,1700
30,24004.82471,922,40570931030,57048868110,16902153463,34582367,16908710720,2182785,1818914,429610,75985,4950852,29.85,5.232356221764836e-10,1700
31,24004.824281,150,40607004490,57043811185,16895730924,34631660,16907945995,2259597,2057587,560086,215728,7064584,29.87,5.236326146429446e-10,1700
32,24004.564674,145,40586936728,57053890500,16900353747,34416389,16907719423,1871441,1282398,343436,49504,4063314,29.84,5.23014289446221e-10,1700
33,24005.09939,141,40568441766,57136036893,16933449865,34504047,16947791240,1513380,1232089,359119,106022,5223091,29.84,5.2226233429319e-10,1700
34,24005.131913,145,40559037840,57031225434,16895112082,34483635,16905836198,2158001,1229725,390949,62915,4039166,29.87,5.237481708080669e-10,1700
35,24005.255532,139,40605759887,57040913473,16899183149,34443245,16907694834,1883921,1704857,441622,105650,4096340,29.86,5.23483902727716e-10,1700
36,24004.372561,148,40591660573,57030093170,16892243703,34521160,16904234214,2264030,1652722,481872,127154,5378595,29.86,5.235832231764176e-10,1700
37,24005.061572,157,40569897865,57040393880,16904696689,34497671,16916258904,1661632,1608118,409626,110527,5488303,29.88,5.238392999680316e-10,1700
38,24004.912214,138,40560592009,57031467904,16898224208,34415568,16910030612,1845582,1279601,350734,76191,3904424,30.0,5.260253874316971e-10,1700
39,24004.378915,139,40590878345,57039976025,16895789071,34407178,16907744673,1579908,1135552,382316,85362,4368717,29.84,5.231418748654707e-10,1700
40,24004.417467,139,40570613833,57039186591,16905924838,34392962,16917346485,1766661,1534554,457957,81874,4871136,29.87,5.236750694602836e-10,1700
41,24004.656529,535,40556338145,56972437348,16877515112,34675864,16897008678,2512723,2254077,494607,152096,6915039,29.86,5.241130867828007e-10,1700
42,24004.375801,144,40593575001,57050935096,16901172066,34329299,16909617438,1967169,2064307,567079,155781,4138542,29.85,5.232166650690511e-10,1700
43,24005.079905000002,140,40577274826,57036360996,16902903687,34408244,16913790762,1647657,1064608,372448,61975,3399805,29.93,5.247529729692785e-10,1700
44,24005.025091,137,40560055554,57034510624,16904026036,34398720,16911553672,1916814,1573548,430532,90381,3791356,29.86,5.235426704517909e-10,1700
45,24005.137931,139,40604304891,57064225968,16900016760,34486545,16919997052,1764517,1382916,422848,109613,5577650,29.87,5.234452845597214e-10,1700
46,24005.020969999998,535,40577171946,56882349344,16791274316,36097797,16828633170,13685828,3817115,3174252,318800,31173600,29.91,5.258221635523029e-10,1700
47,24004.687512,140,40561810700,57002606628,16890622321,34450943,16905065610,1452238,1352310,461889,154655,6376129,29.78,5.224322493591354e-10,1700
48,24004.254356,141,40596367328,56989881577,16880115005,34365884,16890033357,1751079,1179702,356858,68491,4014093,29.99,5.262337658919329e-10,1700
49,24004.815575999997,141,40572512236,57023549645,16892112524,34455800,16902849086,1822631,985562,451220,85207,5178041,29.83,5.231172065875696e-10,1700
50,24005.190212,145,40607887245,57042282830,16896291408,34524177,16908187661,2299775,2088905,549388,151481,6071165,29.88,5.238219530773292e-10,1700
51,24004.875662000002,146,40587613399,57039352607,16897732893,34575410,16907627883,2347026,1873860,625537,124235,5915079,29.85,5.233229101610936e-10,1700
