,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,44926.076866,3610,8210560616,11761497422,2377372832,13675794,1399413050,157213440,14137036,18852053,1178816,160756309,7.63,6.487269202412957e-10,600
1,40055.936037,3224,8674844652,9798820538,1976878973,10136796,1170284817,139771094,18597928,17455837,1366441,149434488,6.15,6.276265573137288e-10,600
2,46110.480846,3219,8415494093,12029956950,2416468130,13213147,1414414042,159608117,17270314,25266119,1249587,164489354,7.76,6.450563399563953e-10,600
3,46031.841314,3216,8403613132,12235280293,2524321441,12827306,1436679082,154972236,14582235,24151393,1167533,165398705,7.79,6.36683411695667e-10,600
4,45860.343005,4010,8989222718,11683529368,2398991532,15163015,1511868146,163081886,18813883,22979794,1510080,182420220,7.83,6.701742045041265e-10,600
5,46086.716755,3216,8357234915,10623244053,2151362625,11037091,1249612680,143431304,18897642,17367860,1392648,164737226,7.09,6.674044166384172e-10,600
6,40061.090716000006,3635,8119086501,9991119477,2006345763,10827273,1190222601,137341208,17519323,16909715,1412061,146179823,6.54,6.54581302431161e-10,600
7,40065.760088,3237,7854775237,9912429333,1994699279,11044772,1181188134,133666636,15171005,20371813,1263113,140965322,6.57,6.628042207703274e-10,600
8,46198.216673,8087,9179763977,12975620972,2686761376,17535053,1647291880,178634123,18966867,25121772,1467537,223113409,8.31,6.40431777248433e-10,600
9,45138.579124,3512,7950225354,10672166479,2157797496,11395570,1246625237,137318837,16188532,19828242,1366062,149756927,7.24,6.784002118263807e-10,600
10,40055.659863,3609,8317515201,9863916116,1964852486,10524612,1156637334,140676652,19696406,14712971,1313272,135612247,6.33,6.41732951249684e-10,600
11,45968.344918,3227,8136108937,11381832509,2331480083,12936500,1344394369,147472720,16034468,25347391,1195873,164446469,7.5,6.589448574356982e-10,600
12,45396.733613,3616,8246100338,12267216754,2518348962,13576062,1461196274,161878099,16018503,19601987,1211897,154786715,7.8,6.35841051512898e-10,600
13,40069.986099,3230,8160198068,9841676481,1965895130,10404602,1172744076,143085470,17270491,15452136,1178206,139048068,6.34,6.441991882419407e-10,600
14,46291.359865,8590,8857153633,12829726827,2646924062,15327475,1604108550,159614598,17061479,23619112,1290898,193495015,8.06,6.282284968872315e-10,600
15,40061.063904,3615,7783800899,10259065805,2060929853,11531777,1270998793,135797032,16545572,17777889,1303918,148549713,6.83,6.657526260014081e-10,600
16,40056.181136,3216,7907622855,9905183984,2003575190,10639873,1155594941,135006951,16478380,17390647,1310188,150667126,6.52,6.582411806314611e-10,600
17,46378.408352,3619,8406963616,11456500353,2343157157,12469344,1366370373,156612607,17601887,19404339,1434356,153577176,7.53,6.57268779119637e-10,600
18,45287.470574,4038,8057386809,11499575916,2338695414,12665219,1374602998,147898662,16352503,24305056,1295856,155387102,7.6,6.608939369168994e-10,600
19,45459.370406,3212,8294052748,10701072559,2164772521,10974702,1262703168,151405809,18455706,17967607,1465509,146273703,7.11,6.644193804685705e-10,600
20,40055.456018,4015,8099128327,9886640743,1992545956,10482536,1173785243,137613881,16196312,13945739,1155457,137431651,6.41,6.483496433850343e-10,600
21,45378.647832,3228,8136314072,11475925897,2352041878,13009491,1338782191,149370951,15934859,19987841,1257452,155370363,7.65,6.66612878878892e-10,600
22,40056.657039,3225,8262134450,9859479068,1962818703,10319200,1168051911,138207968,16983344,16552667,1277493,144218299,6.38,6.470930113039112e-10,600
23,45405.141964999995,3214,8069305604,10650066759,2167234673,11406250,1263492704,141828052,17237630,20887730,1335598,146618798,7.09,6.657235264754081e-10,600
24,40056.080276,3219,8338150576,9840689683,1957581205,10133980,1171458796,143010178,18720230,14577322,1460794,134997990,6.39,6.493447315017828e-10,600
25,40055.7136,3216,8335961805,9816353117,1958292739,10032576,1171961525,135852787,17340081,14303787,1395323,153788297,6.36,6.478984531420052e-10,600
26,45076.404332,4015,8883771220,12561668103,2586404722,17157753,1639774066,174713635,18833056,28375378,1566750,192158013,7.95,6.328777304744556e-10,600
27,40063.312166,3212,8153562430,9854813085,1964525505,10098720,1157482380,138410601,17987868,13931935,1259765,132206912,6.44,6.534877875869931e-10,600
28,40065.247149,3226,7872308287,9776349064,1952359991,10229897,1164269390,141463431,15571842,21063735,1209222,135311396,6.48,6.628241235638434e-10,600
29,40070.244163,3226,7854819566,9941871322,2009581755,10849171,1168352266,133292672,14781908,20631379,1148830,148383244,6.67,6.708998521475733e-10,600
30,40055.781770999994,3237,7985957901,9812493781,1986309395,10443215,1165543519,137779680,16697578,17758975,1256935,136573421,6.37,6.491723859570006e-10,600
31,46250.94007,3229,8144882566,10727909364,2188646494,12043635,1269420403,144261673,17964723,19607497,1476323,150654037,7.31,6.814002385712176e-10,600
