,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24006.205853,890,38189386841,53636990600,15891854210,32487772,15889679113,2516577,3550338,766270,221239,6221570,27.48,5.123329943123245e-10,1600
1,24004.865216,914,38196813307,53689928464,15902728173,32445521,15909797555,2093626,1486039,443115,66751,3974124,27.5,5.12200347192476e-10,1600
2,24005.52066,715,38209895103,53674345034,15904388479,32406947,15911911712,1799351,1657834,440574,77585,4238480,27.51,5.125353645689351e-10,1600
3,24005.019086,724,38208930754,53689126567,15907994998,32412518,15915709748,1696314,1270747,357551,63951,4051247,27.48,5.118354824734767e-10,1600
4,24004.923149000002,717,38209152778,53691269071,15905428019,32452486,15912985642,1756853,1375311,403131,62439,4574246,27.51,5.12373808181391e-10,1600
5,24005.169877,889,38209271120,53648849414,15891002638,32387535,15905331249,2019669,1741282,477992,158989,5121380,27.5,5.125925402013134e-10,1600
6,24005.077656999998,1124,38208997079,53680581041,15904241182,32509252,15913767204,1906113,1553706,421074,83912,5140130,27.57,5.135935465926248e-10,1600
7,24005.237791,715,38211179899,53695942366,15905044690,32391196,15909902944,1915783,1654451,427593,89851,3620811,27.59,5.138190854709694e-10,1600
8,24004.940282,717,38210500644,53685701427,15900838168,32435586,15909469297,1515960,1127830,394033,90342,5004165,27.53,5.127994841873187e-10,1600
9,24005.411946,884,38212307414,53685664931,15904369712,32373978,15909454963,1911531,1632282,462844,73421,4055287,27.6,5.14103719036975e-10,1600
10,24006.189428,722,38176579715,53663103543,15895708849,32442317,15900095318,2085806,2169273,588099,144532,6110954,27.55,5.133881229572254e-10,1600
11,24005.030399,1126,38178981983,53674112959,15897429585,32477839,15905833401,2039472,1301517,344152,62131,3301016,27.74,5.168227003805304e-10,1600
12,24004.648005000003,716,38176600271,53673249027,15903975119,32342881,15919136132,1567353,974831,387114,108639,4433542,27.63,5.147815811578855e-10,1600
13,24005.02764,718,38184640178,53290091253,15788275388,32241091,15802070403,1998134,1758604,450358,102703,4728594,28.26,5.303049654359353e-10,1600
14,24004.680344999997,2013,38171392818,53627436255,15863450510,32715539,15906041478,3381473,2528078,768830,234157,9421885,27.6,5.14661932909886e-10,1600
15,24004.537897,1102,38168634047,53520138733,15808461155,34374730,15822898336,13916023,3831563,3260261,262610,29442991,27.66,5.16814803825333e-10,1600
16,24005.085877,1762,38174055707,53660001596,15898896585,32558640,15910047095,1814018,2010355,504604,152214,6793861,27.43,5.111814980274754e-10,1600
17,24005.372446,716,38185152933,53666115697,15896953570,32475324,15904999390,2037994,1308544,340752,60038,3206817,27.5,5.124276210945762e-10,1600
18,24004.646271,714,38171609364,53670604282,15908748545,32376414,15920692054,1541527,1481481,485107,133954,5556317,27.4,5.105215483699964e-10,1600
19,24004.694343,1098,38169625229,53641984133,15898712870,32645577,15908093204,2497397,1894984,486388,94985,5763075,27.36,5.100482475100768e-10,1600
20,24004.725193000002,723,38166443566,54013421037,16008338398,32656972,16013484927,2245872,2293589,608977,111814,4380723,27.69,5.126503648238081e-10,1600
21,24004.971758,5579,38209040225,53336436895,15753461042,34957616,15785242669,13114345,4467641,4280180,359592,49027999,27.42,5.140950838913365e-10,1600
22,24005.129994,715,38165980811,53678544986,15908746137,32402182,15919517632,1587090,1310306,404999,112399,4901893,27.36,5.097008498858494e-10,1600
23,24004.917153,981,38212070587,53675775745,15891276588,32593562,15901886810,2135413,1106083,385794,114892,6116736,27.33,5.091682350309737e-10,1600
24,24005.087873,2754,38212260593,53609295343,15877885088,32714339,15898928062,2351468,2520910,747819,193497,12586711,27.36,5.103592543969618e-10,1600
25,24004.814317,716,38201696285,53708559153,15906090564,32399449,15912781711,1795054,1009074,382749,76961,3508481,27.33,5.088574415512583e-10,1600
26,24005.050444,914,38213707556,53680686514,15903856140,32404486,15915085515,1678833,1475099,444010,89303,4805370,27.36,5.09680515968522e-10,1600
27,24004.700863,718,38167078722,53678304786,15906423601,32451283,15916779835,1867746,1329152,379563,65113,4069844,27.43,5.110071957256389e-10,1600
28,24004.663256,715,38200226425,53699632829,15908483742,32389955,15918833632,1683437,1212965,390277,79459,4026661,27.34,5.091282483636514e-10,1600
29,24005.410594,1097,38210341802,53670872948,15900444401,32456326,15910806189,2264155,1871363,519747,104548,4417355,27.45,5.114505967994117e-10,1600
30,24005.145663,721,38209978489,53715352639,15912626274,32451473,15923660460,2342310,2043261,589717,125264,4531243,27.42,5.104685839871361e-10,1600
31,24005.311566999997,949,38209523951,53677800241,15897857526,32478943,15905221144,2123497,1422751,482504,85008,4747551,27.36,5.097079216577503e-10,1600
32,24005.59476,732,38212061122,53712294196,15913869688,32436310,15920802488,1732206,1423765,362379,92978,4631027,27.39,5.099391193392695e-10,1600
33,24005.237627000002,717,38211843263,53690832885,15893353462,32532350,15904358999,2002942,1549296,438884,120300,5500366,27.43,5.10887958448179e-10,1600
34,24004.834408000002,1100,38213149509,53684946362,15897683600,32504299,15906254349,2260364,1361901,445069,90625,5238041,27.45,5.113165209275505e-10,1600
35,24004.906044,1112,38210919530,53548414492,15806377433,34062537,15821595511,13679469,3269666,3717387,216461,31713718,27.47,5.129937134572668e-10,1600
36,24005.455212,920,38213152076,53684289586,15903085741,32458020,15912983079,2115651,1763568,516582,94916,4822194,27.36,5.096463082774042e-10,1600
37,24005.582561000003,714,38210777403,53679955687,15902030532,32427177,15912536604,1692088,1085379,330674,63699,3846266,27.39,5.102463228492046e-10,1600
38,24005.427444,717,38210414991,53702642395,15910712204,32405257,15918486491,1848994,1263735,395882,61893,4009572,27.42,5.105894007657424e-10,1600
39,24005.248851,1099,38211582930,53669391299,15894778923,32585219,15903292495,2554290,1988948,546058,112546,5495095,27.4,5.105330866778534e-10,1600
40,24005.216894,922,38208510205,53684151103,15905075149,32440783,15913117744,2119464,1654223,431674,85855,3295803,27.37,5.098338976709739e-10,1600
41,24004.962206,720,38209232289,53562955055,15870728470,32371044,15883605888,1520634,1188634,392601,93531,5852295,27.53,5.139746298861105e-10,1600
42,24005.115096,725,38213462557,53692035124,15907404097,32458627,15910241991,1893125,1624514,296944,44579,3214286,27.57,5.134839820529802e-10,1600
43,24005.466589,717,38210699561,53669915861,15902136782,32358888,15920340035,1509086,1125020,455961,152526,5721812,27.44,5.112733932929391e-10,1600
44,24004.863019,1109,38191364126,53641553079,15898667172,32597362,15907466606,2445164,1711237,412048,104667,3969313,27.62,5.148993348369865e-10,1600
45,24005.454053999998,916,38212995854,53691945208,15907443561,32369715,15920187554,1433535,1490337,418254,129556,4798733,27.52,5.125536035878166e-10,1600
46,24005.278281,716,38209901037,53668199385,15897852922,32502732,15910736992,1835788,864974,304990,73833,4212391,27.36,5.097991047496739e-10,1600
47,24005.230566,714,38209501491,53702588426,15910078869,32352673,15916300921,1460386,1721490,404313,109065,4571870,27.37,5.096588600699342e-10,1600
48,24005.552482,717,38213505244,53680238259,15900728408,32454894,15913960569,1851369,877423,340208,75511,3762824,27.45,5.11361366683162e-10,1600
49,24004.953502,1109,38167899556,53641573410,15897805817,32480340,15908928032,2501650,2366502,576332,131932,5808750,27.55,5.135941816886389e-10,1600
50,24004.771514,920,38167803649,53657203500,15893153061,32476565,15901658579,1952225,1150879,390050,89129,4555811,27.49,5.12326364529974e-10,1600
51,24004.750149,715,38173564566,53667046592,15902350864,32384971,15909219024,1742426,1564396,437674,81115,4959713,27.33,5.092510532165936e-10,1600
